Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
"மீனாக்ஷீ திருக்கல்யாணம்",2024-04-21,04:00,2024-04-21,05:00,False,५१२६ क्रोधी-मेषः-८: अद्य மீனாக்ஷீ திருக்கல்யாணம்! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0040.png
"मदन-त्रयोदशी",2024-04-21,05:00,2024-04-21,06:00,False,५१२६ क्रोधी-मेषः-८: अद्य मदन-त्रयोदशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0041.png
"रविवार-शुक्ल-प्रदोष-व्रतम् 18:18▶19:46",2024-04-21,05:00,2024-04-21,06:00,False,५१२६ क्रोधी-मेषः-८: अद्य रविवार-शुक्ल-प्रदोष-व्रतम् 18:18▶19:46! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0042.png
"वेङ्कटाचले वसन्तोत्सव-प्रारम्भः",2024-04-21,05:00,2024-04-21,06:00,False,५१२६ क्रोधी-मेषः-८: अद्य वेङ्कटाचले वसन्तोत्सव-प्रारम्भः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0043.png
"केचिन्निषिद्ध-विषयाः",2024-04-21,05:00,2024-04-21,06:00,False,५१२६ क्रोधी-मेषः-८: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0044.png
"दमनक-चतुर्दशी",2024-04-22,04:00,2024-04-22,05:00,False,५१२६ क्रोधी-मेषः-९: अद्य दमनक-चतुर्दशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0045.png
"मदन-चतुर्दशी",2024-04-22,04:00,2024-04-22,05:00,False,५१२६ क्रोधी-मेषः-९: अद्य मदन-चतुर्दशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0046.png
"नृसिंह-दोलोत्सवः",2024-04-22,04:00,2024-04-22,05:00,False,५१२६ क्रोधी-मेषः-९: अद्य नृसिंह-दोलोत्सवः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0047.png
"वेङ्कटाचले वसन्तोत्सवः",2024-04-22,05:00,2024-04-22,06:00,False,५१२६ क्रोधी-मेषः-९: अद्य वेङ्कटाचले वसन्तोत्सवः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0048.png
"केचिन्निषिद्ध-विषयाः",2024-04-22,05:00,2024-04-22,06:00,False,५१२६ क्रोधी-मेषः-९: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0049.png
"चैत्र-पूर्णिमा",2024-04-23,04:00,2024-04-23,05:00,False,५१२६ क्रोधी-मेषः-१०: अद्य चैत्र-पूर्णिमा! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0050.png
"चित्रा-पूर्णिमा",2024-04-23,04:00,2024-04-23,05:00,False,५१२६ क्रोधी-मेषः-१०: अद्य चित्रा-पूर्णिमा! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0051.png
"चित्रगुप्त-व्रतम्",2024-04-23,04:00,2024-04-23,05:00,False,५१२६ क्रोधी-मेषः-१०: अद्य चित्रगुप्त-व्रतम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0052.png
"गजेन्द्र-मोक्षः",2024-04-23,05:00,2024-04-23,06:00,False,५१२६ क्रोधी-मेषः-१०: अद्य गजेन्द्र-मोक्षः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0053.png
"இசைஞானியார் நாயன்மார் (63) குருபூஜை",2024-04-23,05:00,2024-04-23,06:00,False,५१२६ क्रोधी-मेषः-१०: अद्य இசைஞானியார் நாயன்மார் (63) குருபூஜை! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0054.png
"மதுரகவி ஆழ்வார் திருநக்ஷத்திரம்",2024-04-23,05:00,2024-04-23,06:00,False,५१२६ क्रोधी-मेषः-१०: अद्य மதுரகவி ஆழ்வார் திருநக்ஷத்திரம்! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0055.png
"मन्वादिः-(रौच्यः-[१३])",2024-04-23,05:00,2024-04-23,06:00,False,५१२६ क्रोधी-मेषः-१०: अद्य मन्वादिः-(रौच्यः-[१३])! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0056.png
"पार्वणव्रतम् पूर्णिमायाम्",2024-04-23,06:00,2024-04-23,07:00,False,५१२६ क्रोधी-मेषः-१०: अद्य पार्वणव्रतम् पूर्णिमायाम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0057.png
"पूर्णिमा-व्रतम्",2024-04-23,06:00,2024-04-23,07:00,False,५१२६ क्रोधी-मेषः-१०: अद्य पूर्णिमा-व्रतम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0058.png
"वेङ्कटाचले पूर्णिमा-गरुड-सेवा",2024-04-23,06:00,2024-04-23,07:00,False,५१२६ क्रोधी-मेषः-१०: अद्य वेङ्कटाचले पूर्णिमा-गरुड-सेवा! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0059.png
"वेङ्कटाचले वसन्तोत्सव-समापनम्",2024-04-23,06:00,2024-04-23,07:00,False,५१२६ क्रोधी-मेषः-१०: अद्य वेङ्कटाचले वसन्तोत्सव-समापनम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0060.png
"श्री-हनूमत्-जयन्ती",2024-04-23,07:00,2024-04-23,08:00,False,५१२६ क्रोधी-मेषः-१०: अद्य श्री-हनूमत्-जयन्ती! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0061.png
"केचिन्निषिद्ध-विषयाः",2024-04-23,07:00,2024-04-23,08:00,False,५१२६ क्रोधी-मेषः-१०: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0062.png
"पार्वण-प्रायश्चित्तावकाशः पौर्णमास्याम्",2024-04-24,04:00,2024-04-24,05:00,False,५१२६ क्रोधी-मेषः-११: अद्य पार्वण-प्रायश्चित्तावकाशः पौर्णमास्याम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0063.png
"पूर्णमासेष्टिः",2024-04-24,04:00,2024-04-24,05:00,False,५१२६ क्रोधी-मेषः-११: अद्य पूर्णमासेष्टिः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0064.png
"पूर्ण-स्थालीपाकः",2024-04-24,04:00,2024-04-24,05:00,False,५१२६ क्रोधी-मेषः-११: अद्य पूर्ण-स्थालीपाकः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0065.png
"திருக்குறிப்புத் தொண்ட நாயன்மார் (19) குருபூஜை",2024-04-24,05:00,2024-04-24,06:00,False,५१२६ क्रोधी-मेषः-११: अद्य திருக்குறிப்புத் தொண்ட நாயன்மார் (19) குருபூஜை! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0066.png
"केचिन्निषिद्ध-विषयाः",2024-04-24,05:00,2024-04-24,06:00,False,५१२६ क्रोधी-मेषः-११: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0067.png
"व्यतीपात-श्राद्धम्",2024-04-25,04:00,2024-04-25,05:00,False,५१२६ क्रोधी-मेषः-१२: अद्य व्यतीपात-श्राद्धम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0068.png
"केचिन्निषिद्ध-विषयाः",2024-04-25,04:00,2024-04-25,05:00,False,५१२६ क्रोधी-मेषः-१२: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0069.png
"केचिन्निषिद्ध-विषयाः",2024-04-26,04:00,2024-04-26,05:00,False,५१२६ क्रोधी-मेषः-१३: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0070.png
"विकट-महागणपति-सङ्कटहर-चतुर्थी-व्रतम्",2024-04-27,04:00,2024-04-27,05:00,False,५१२६ क्रोधी-मेषः-१४: अद्य विकट-महागणपति-सङ्कटहर-चतुर्थी-व्रतम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0071.png
"केचिन्निषिद्ध-विषयाः",2024-04-27,04:00,2024-04-27,05:00,False,५१२६ क्रोधी-मेषः-१४: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0072.png
"वराह-जयन्ती",2024-04-28,04:00,2024-04-28,05:00,False,५१२६ क्रोधी-मेषः-१५: अद्य वराह-जयन्ती! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0073.png
"केचिन्निषिद्ध-विषयाः",2024-04-28,04:00,2024-04-28,05:00,False,५१२६ क्रोधी-मेषः-१५: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0074.png
"केचिन्निषिद्ध-विषयाः",2024-04-29,04:00,2024-04-29,05:00,False,५१२६ क्रोधी-मेषः-१६: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0075.png
"दिनक्षयः",2024-04-30,04:00,2024-04-30,05:00,False,५१२६ क्रोधी-मेषः-१७: अद्य दिनक्षयः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0076.png
"गङ्गा-अन्त्य-पुष्कर-समापनम्",2024-04-30,04:00,2024-04-30,05:00,False,५१२६ क्रोधी-मेषः-१७: अद्य गङ्गा-अन्त्य-पुष्कर-समापनम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0077.png
"त्रिपुष्कर-योगः 07:05▶04:08*",2024-04-30,04:00,2024-04-30,05:00,False,५१२६ क्रोधी-मेषः-१७: अद्य त्रिपुष्कर-योगः 07:05▶04:08*! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0078.png
"केचिन्निषिद्ध-विषयाः",2024-04-30,05:00,2024-04-30,06:00,False,५१२६ क्रोधी-मेषः-१७: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0079.png
"गुरु-सङ्क्रान्तिः (मेषः▶वृषभः) 11:54▶",2024-05-01,04:00,2024-05-01,05:00,False,५१२६ क्रोधी-मेषः-१८: अद्य गुरु-सङ्क्रान्तिः (मेषः▶वृषभः) 11:54▶! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0080.png
"काञ्ची ५६ जगद्गुरु श्री-सर्वज्ञ सदाशिव बोधेन्द्र सरस्वती आराधना #४८६",2024-05-01,04:00,2024-05-01,05:00,False,५१२६ क्रोधी-मेषः-१८: अद्य काञ्ची ५६ जगद्गुरु श्री-सर्वज्ञ सदाशिव बोधेन्द्र सरस्वती आराधना #४८६! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0081.png
